niche_label,description,markers
tumor_epithelial,Tumor-cell-dominant epithelial region with relatively few stromal or immune cells.,EPCAM; KRT8; KRT18; KRT19; KRT7; MUC1; TACSTD2
proliferative_tumor,Tumor region enriched for actively dividing malignant cells.,MKI67; TOP2A; UBE2C; CENPF; CCNB1; CCNB2; CDK1
hypoxic_necrotic_tumor,"Poorly oxygenated tumor region, often near necrosis and associated with metabolic stress.",CA9; VEGFA; SLC2A1; LDHA; BNIP3; NDRG1; HILPDA
invasive_emt_front,"Tumor–stroma interface containing invasive or EMT-like tumor cells, often mixed with fibroblasts and macrophages.",VIM; FN1; LAMC2; ITGA5; ZEB1; SNAI2; MMP7; TGFBI
immune_desert,"Tumor-rich region with very low abundance of T cells, B cells, and other leukocytes.",EPCAM; KRT8; KRT18; KRT19; low PTPRC; low CD3D; low CD8A
immune_hot_cytotoxic,"Inflamed region containing activated CD8 T cells and/or NK cells, frequently intermingled with tumor cells.",CD3D; CD3E; CD8A; CCL5; NKG7; GZMB; PRF1; IFNG; CXCL9; CXCL10
immune_excluded_boundary,Immune cells accumulate outside or along the tumor boundary but penetrate the tumor poorly; often associated with CAF and ECM barriers.,COL1A1; COL1A2; COL3A1; FAP; POSTN; FN1; TGFBI; CXCL12; SPP1
exhausted_t_cell,T-cell-rich region showing dysfunctional or chronically stimulated T-cell states.,PDCD1; LAG3; TIGIT; HAVCR2; TOX; CTLA4; ENTPD1; CXCL13
macrophage_rich_tam,Region dominated by tumor-associated macrophages and other myeloid cells.,LST1; FCER1G; TYROBP; CTSS; CD68; AIF1; C1QA; C1QB; C1QC
spp1_macrophage_suppressive,SPP1-positive macrophage region commonly found near tumor–stroma boundaries and associated with tissue remodeling and immune suppression.,SPP1; APOE; GPNMB; TREM2; LGALS3; CTSD; CD9; MARCO
fibroblast_ecm_rich,Stromal region enriched for fibroblasts and extracellular-matrix production.,COL1A1; COL1A2; COL3A1; DCN; LUM; COL6A1; FN1; FAP; PDGFRA
myofibroblast_caf,Contractile CAF-rich region associated with matrix deposition and tumor-boundary remodeling.,ACTA2; TAGLN; MYL9; TPM2; CNN1; COL1A1; POSTN; FAP
inflammatory_caf,Cytokine- and chemokine-producing fibroblast region that can recruit or regulate immune cells.,CXCL12; CXCL14; IL6; CFD; C7; DPT; COL14A1; PDGFRA
vascular_perivascular,Blood-vessel-associated region containing endothelial cells and often pericytes or smooth-muscle-like cells.,PECAM1; VWF; EMCN; KDR; ESAM; ENG; RAMP2; PLVAP; RGS5; PDGFRB
b_cell_lymphoid,"B-cell-rich lymphoid aggregate, sometimes accompanied by T cells and antigen-presenting cells.",MS4A1; CD79A; CD79B; CD37; CD74; HLA-DRA; CD22; CD3D
tls_like,"Organized tertiary-lymphoid-structure-like region containing B cells, T cells, antigen-presenting cells, and sometimes plasma cells.",MS4A1; CD79A; CD3D; CXCL13; CCL19; CCL21; LAMP3; MZB1; JCHAIN
plasma_cell_rich,"Region enriched for antibody-producing plasma cells, often near lymphoid aggregates.",MZB1; JCHAIN; SDC1; IGKC; IGHG1; IGHG3; DERL3
adipocyte_rich,Breast adipose-tissue region containing mature adipocytes and adipose-associated stromal cells.,ADIPOQ; PLIN1; FABP4; LPL; CIDEC; CEBPA
